,Route,Ward,District,Price,Type Of New,Type Of Estate,Owned,Legal,Square,Width,Length,Floors,Bedrooms,Direction,Road,DinningRoom,Kitchen,Terrace,Garage
77,Đường Hồ Sĩ Tân, Phường Nại Hiên Đông, Quận Sơn Trà,4300000000.0,Cần bán,Nhà mặt tiền,Missing value,Sổ hồng/ Sổ đỏ,80.0,5.0,16.0,2.7620345140781106,3.0,Tây Bắc,7.5,Y,Y,Missing value,Y
78,Đường Thi Sách, Phường Hòa Thuận Tây, Quận Hải Châu,4500000000.0,Cần bán,Nhà trong hẻm,Missing value,Sổ hồng/ Sổ đỏ,85.0,5.0,17.0,1.0,2.0,Đông,6.0,Y,Y,Missing value,Y
79,Đường Hoàng Bích Sơn, Phường An Hải Bắc, Quận Sơn Trà,7300000000.0,Cần bán,"Đất thổ cư, đất ở",Missing value,Sổ hồng/ Sổ đỏ,70.0,4.5,15.5,2.7620345140781106,4.425570776255708,Đông,7.5,Missing value,Missing value,Missing value,Missing value
80,Đường Hải Phòng, Phường Chính Gián, Quận Thanh Khê,16000000000.0,Cần bán,Nhà mặt tiền,Missing value,Sổ hồng/ Sổ đỏ,120.0,4.9,17.5,7.0,18.0,Tây Nam,12.0,Y,Y,Y,Y
81,Đường Ngô Thì Hương, Phường Nại Hiên Đông, Quận Sơn Trà,6000000000.0,Cần bán,"Đất thổ cư, đất ở",Missing value,Sổ hồng/ Sổ đỏ,145.0,7.5,20.0,2.7620345140781106,4.425570776255708,Nam,7.5,Missing value,Missing value,Missing value,Missing value
82,Đường Nguyễn Mậu Tài, Phường Hòa Xuân, Quận Cẩm Lệ,11600000000.0,Cần bán,"Đất nền, liền kề, đất dự án",Missing value,Sổ hồng/ Sổ đỏ,200.0,10.0,20.0,2.7620345140781106,4.425570776255708,Đông Bắc,7.5,Missing value,Missing value,Missing value,Missing value
83,Đường Kỳ Đồng, Phường Xuân Hà, Quận Thanh Khê,8500000000.0,Cần bán,Nhà mặt tiền,Missing value,Sổ hồng/ Sổ đỏ,100.0,5.0,20.0,2.0,2.0,Nam,7.5,Y,Y,Y,Y
84,Đường Tân Phú 2, Phường Mân Thái, Quận Sơn Trà,4900000000.0,Cần bán,"Đất thổ cư, đất ở",Missing value,Sổ hồng/ Sổ đỏ,80.0,5.0,16.0,2.7620345140781106,4.425570776255708,Tây Bắc,5.5,Missing value,Missing value,Missing value,Missing value
85,Đường Lê Quang Sung, Phường Chính Gián, Quận Thanh Khê,5950000000.0,Cần bán,Nhà mặt tiền,Missing value,Sổ hồng/ Sổ đỏ,58.0,4.0,15.0,3.0,4.0,Bắc,7.5,Y,Y,Y,Y
86,Đường Trương Quốc Dụng, Phường Nại Hiên Đông, Quận Sơn Trà,4950000000.0,Cần bán,"Đất thổ cư, đất ở",Missing value,Sổ hồng/ Sổ đỏ,122.0,5.0,24.5,2.7620345140781106,4.425570776255708,Tây Bắc,7.5,Missing value,Missing value,Missing value,Y
87,Đường Nguyễn Phong Sắc, Phường Khuê Trung, Quận Cẩm Lệ,7500000000.0,Cần bán,Nhà mặt tiền,Missing value,Sổ hồng/ Sổ đỏ,100.0,5.0,20.0,1.0,1.0,Đông,7.5,Y,Y,Y,Y
88,Đường Trần Thủ Độ, Phường Khuê Trung, Quận Cẩm Lệ,6500000000.0,Cần bán,Nhà mặt tiền,Missing value,Sổ hồng/ Sổ đỏ,100.0,5.0,20.0,2.0,4.0,Tây Bắc,10.0,Y,Y,Y,Y
89,Đường Lê Văn Hiến, Phường Hòa Hải, Quận Ngũ Hành Sơn,9100000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,112.0,5.0,23.0,3.0,3.0,Missing value,30.0,Missing value,Missing value,Missing value,Missing value
