Route,Ward,District,Price,Type Of New,Type Of Estate,Owned,Legal,Square,Width,Length,Floors,Bedrooms,Direction,Road,DinningRoom,Kitchen,Terrace,Garage
Đường Trương Quang Giao, Phường Khuê Trung, Quận Cẩm Lệ,4300000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,80,4,20,2,3,Đông Bắc,5.5,Y,Y,,Y
Đường Trần Cao Vân, Phường Xuân Hà, Quận Thanh Khê,3500000000,Cần bán,Nhà trong hẻm,,Sổ hồng/ Sổ đỏ,50,4.5,,3,3,Đông Bắc,3.5,,,,
Đường Trần Thanh Trung, Phường Thanh Khê Tây, Quận Thanh Khê,6500000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,81,4.5,18,3,3,Đông,10,Y,Y,,Y
Đường Kinh Dương Vương, Phường Hòa Khánh Bắc, Quận Liên Chiểu,7900000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,150,5,30,3,3,Đông Bắc,15,,,,
Đường Ngô Trí Hòa, Phường Nại Hiên Đông, Quận Sơn Trà,3500000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,72,4,18,1,3,Tây Nam,5.5,Y,Y,,Y
Đường Phạm Văn Tráng, Phường Hòa Khánh Bắc, Quận Liên Chiểu,3650000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,109,5.9,20,,,Đông Nam,7.5,,,,
Đường Âu Cơ, Phường Hòa Hiệp Bắc, Quận Liên Chiểu,3500000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,60,4.91,12,1,2,Đông Bắc,7.5,,,,
Đường Mỹ An 7, Phường Mỹ An, Quận Ngũ Hành Sơn,5800000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,100,5,20,,,Đông Bắc,5.5,,,,
Đường Đặng Huy Tá, Phường Hòa Minh, Quận Liên Chiểu,4700000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,85,5,17,2,4,Đông Bắc,5.5,,,,
Đường Gò Nãy 5, Phường Hòa Minh, Quận Liên Chiểu,3250000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,85,5,17,,,Tây Bắc,5.5,,,,
Đường Nguyễn Văn Linh, Phường Nam Dương, Quận Hải Châu,4850000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,73,6,12,3,3,Nam,3,Y,Y,,
Đường Đặng Tất, Phường Hòa Khánh Bắc, Quận Liên Chiểu,4600000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,81,4.5,16,2,3,Tây Bắc,6,Y,Y,Y,Y
Đường Trần Quý Khoách, Phường Hòa Minh, Quận Liên Chiểu,3350000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,85,5,17,,,Tây Nam,5.5,,,,
Đường Nguyễn Huy Tự, Phường Hòa Minh, Quận Liên Chiểu,4470000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,70,4.5,15.5,4,4,Tây Nam,5.5,,,,
Đường Bùi Tấn Diên, Phường Hòa Minh, Quận Liên Chiểu,3670000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,105,5,21,,,Tây Nam,105,,,,
Đường Phú Lộc 16, Phường Hòa Minh, Quận Liên Chiểu,3500000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,80,5,16,,,Tây,5.5,,,,
Đường Thanh Nghị, Phường Hòa Minh, Quận Liên Chiểu,4650000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,90,4.5,20,,,Đông Bắc,105,,,,
Đường Phan Văn Định, Phường Hòa Khánh Bắc, Quận Liên Chiểu,3790000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,147,5,24.5,,,Đông Bắc,5,,,,
Đường Lê Doãn Nhạ, Phường Hòa Khánh Nam, Quận Liên Chiểu,4100000000,Cần bán,Mặt bằng,,Sổ hồng/ Sổ đỏ,100,5,20,,,Đông Nam,7.5,,,,
Đường Nhơn Hòa 22, Phường Hòa An, Quận Cẩm Lệ,2750000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,112,5,22,,,Đông Bắc,5.5,,,,
Đường Đoàn Phú Tứ, Phường Hòa Khánh Bắc, Quận Liên Chiểu,4100000000,Cần bán,"Phòng trọ, nhà trọ",,Sổ hồng/ Sổ đỏ,147,5,29,1,6,Tây Nam,5.5,,,,
Đường Đặng Dung, Phường Hòa Khánh Bắc, Quận Liên Chiểu,4000000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,70,4.9,14.5,1,2,Đông Bắc,6,,,,
Đường Hoà Minh 14, Phường Hòa Minh, Quận Liên Chiểu,3700000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,80,5,16,1,3,Đông Nam,5.5,,,,
Đường Dương Bích Liên, Phường Hòa Minh, Quận Liên Chiểu,4395000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,70,5,14,2,3,Tây Nam,5.5,,,,
Đường Nguyễn Phong Sắc, Phường Khuê Trung, Quận Cẩm Lệ,3950000000,Cần bán,Nhà trong hẻm,,Sổ hồng/ Sổ đỏ,114,4,28,2,2,Bắc,5,,,,
Đường Đặng Huy Trứ, Phường Hòa Khánh Nam, Quận Liên Chiểu,6000000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,98,5,20,,,Tây Nam,7.5,,,,
Đường Mạc Thị bưởi, Phường Hòa Cường Nam, Quận Hải Châu,7200000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,85,4.5,19,4,6,Đông,5.5,,,,
Đường Mai Am, Phường Thanh Bình, Quận Hải Châu,6900000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,62,5.48,9.56,4,4,Đông Nam,7.5,,,,
Đường Đặng Huy Tá, Phường Hòa Minh, Quận Liên Chiểu,4700000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,85,5,17,2,4,Đông Bắc,5.5,,,,
Đường Gò Nãy 5, Phường Hòa Minh, Quận Liên Chiểu,3250000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,85,5,17,,,Tây Bắc,5.5,,,,
Đường Nguyễn Văn Linh, Phường Nam Dương, Quận Hải Châu,4850000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,73,6,12,3,3,Nam,3,Y,Y,,
Đường Hoàng Văn Thái, Phường Hòa Khánh Nam, Quận Liên Chiểu,5000000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,115,4.5,25,2,3,Tây Bắc,105,,,,
Đường Phú Xuân 2, Phường Hòa Minh, Quận Liên Chiểu,8900000000,Cần bán,"Phòng trọ, nhà trọ",,Sổ hồng/ Sổ đỏ,120,6,20,5,18,Đông Bắc,5.5,,,,
Đường Trần Quý Khoách, Phường Hòa Minh, Quận Liên Chiểu,3350000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,85,5,17,,,Tây Nam,5.5,,,,
Đường Phú Lộc 16, Phường Hòa Minh, Quận Liên Chiểu,3500000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,80,5,16,,,Tây,5.5,,,,
Đường Phan Văn Định, Phường Hòa Khánh Bắc, Quận Liên Chiểu,3790000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,147,5,24.5,,,Đông Bắc,5,,,,
Đường Đoàn Phú Tứ, Phường Hòa Khánh Bắc, Quận Liên Chiểu,4100000000,Cần bán,"Phòng trọ, nhà trọ",,Sổ hồng/ Sổ đỏ,147,5,29,1,6,Tây Nam,5.5,,,,
Đường Hoàng Tăng Bí, Phường Hòa An, Quận Cẩm Lệ,6450000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,125,5,25,3,4,Đông,105,,,,
Đường Đặng Tất, Phường Hòa Khánh Nam, Quận Liên Chiểu,3900000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,78,4.5,17.5,1,2,Đông Nam,5.5,,,,
Đường Hồ Tùng Mậu, Phường Hòa Minh, Quận Liên Chiểu,5300000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,81,4.5,18,,,Tây Bắc,105,,,,
Đường Đặng Huy Trứ, Phường Hòa Khánh Nam, Quận Liên Chiểu,6000000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,98,5,20,,,Tây Nam,7.5,,,,
Đường Trần Đình Tri, Phường Hòa Minh, Quận Liên Chiểu,6500000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,115,5,21,3,3,Đông Nam,105,,,,
Đường Mạc Thị bưởi, Phường Hòa Cường Nam, Quận Hải Châu,7200000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,85,4.5,19,4,6,Đông,5.5,,,,
Đường Lê Văn Thịnh, Phường Hòa Minh, Quận Liên Chiểu,5100000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,75,5,15,3,4,Tây Bắc,5.5,,,,
Đường Nguyễn Lương Bằng, Phường Hòa Hiệp Nam, Quận Liên Chiểu,4500000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,74,4.07,15,1,2,Tây Nam,30,,,,
Đường Mai Am, Phường Thanh Bình, Quận Hải Châu,6900000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,62,5.48,9.56,4,4,Đông Nam,7.5,,,,
Đường Phú Lộc 7, Phường Hòa Minh, Quận Liên Chiểu,4700000000,Cần bán,"Phòng trọ, nhà trọ",,Sổ hồng/ Sổ đỏ,68,5,13.6,12,12,Tây Nam,375,,,,
Đường Cẩm Bắc 9, Phường Hòa Phát, Quận Cẩm Lệ,3850000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,78,4.4,18,2,3,Đông,5.5,,,,
Đường Đoàn Nguyễn Thục, Phường Hòa Thọ Đông, Quận Cẩm Lệ,3300000000,Cần bán,"Phòng trọ, nhà trọ",,Sổ hồng/ Sổ đỏ,80,6,13,2,5,Tây Nam,5.5,,,,
Đường Bàu Mạc 8, Phường Hòa Khánh Bắc, Quận Liên Chiểu,3300000000,Cần bán,"Đất nền, liền kề, đất dự án",,Sổ hồng/ Sổ đỏ,108,5,21.5,,,Đông Nam,5.5,,,,
Đường Lý Tế Xuyên, Phường Khuê Trung, Quận Cẩm Lệ,3300000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,70,5,14,,,Tây Bắc,5.5,,,,
Đường Lê Thiệt, Phường Hòa Minh, Quận Liên Chiểu,3200000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,72,4.5,16,,,Tây Nam,5.5,,,,
Đường Đàm Văn Lễ, Phường Hòa Minh, Quận Liên Chiểu,5300000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,100,5,20,,,Nam,105,,,,
Đường Ông Ích Khiêm, Phường Thanh Bình, Quận Hải Châu,4050000000,Cần bán,Nhà trong hẻm,,Sổ hồng/ Sổ đỏ,50,4.55,10.5,3,3,Đông Nam,3.5,,,,
Đường Phú Xuân 1, Phường Hòa Minh, Quận Liên Chiểu,3800000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,100,5,20,,,Tây Nam,6,,,,
Đường Trịnh Hoài Đức, Phường Khuê Trung, Quận Cẩm Lệ,4020000000,Cần bán,Nhà trong hẻm,,Sổ hồng/ Sổ đỏ,98,5.1,19,1,2,Tây Bắc,8,,,,
Đường Bùi Tấn Diên, Phường Hòa Minh, Quận Liên Chiểu,3670000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,105,5,21,,,Tây Nam,105,,,,
Đường Thanh Tịnh, Phường Hòa Minh, Quận Liên Chiểu,4850000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,110,5,22,,,Tây Bắc,105,,,,
Đường Trần Đình Tri, Phường Hòa Minh, Quận Liên Chiểu,5900000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,103,5,20.6,,,Đông Nam,105,,,,
Đường Phạm Phú Tiết, Phường Khuê Trung, Quận Cẩm Lệ,6700000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,94,5,19,,,Tây,7.5,,,,
Đường Hùng Vương, Phường Vĩnh Trung, Quận Thanh Khê,2790000000,Cần bán,Nhà trong hẻm,,Sổ hồng/ Sổ đỏ,40,6.95,6,2,3,Tây Nam,3,,,,
Đường Nguyễn Đức Thiệu, Phường Hòa Thọ Đông, Quận Cẩm Lệ,4050000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,142,5,27,,,Đông Nam,5.5,,,,
Đường Yên Bái, Phường Hải Châu I, Quận Hải Châu,2600000000,Cần bán,Nhà trong hẻm,,Sổ hồng/ Sổ đỏ,49,5,10,2,2,Đông,2.5,,,,
Đường Ngô Thì Hương, Phường Nại Hiên Đông, Quận Sơn Trà,5150000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,100,5,20,,,Đông Bắc,7.5,,,,
Đường Đồng Kè, Phường Hòa Minh, Quận Liên Chiểu,2080000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,78,5,19,,,Tây Bắc,5,,,,
Đường Hàm Trung 9, Phường Hòa Hiệp Nam, Quận Liên Chiểu,3150000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,90,4.5,20,1,3,Tây Bắc,5.5,,,,
Đường Hòa Minh 3, Phường Hòa Minh, Quận Liên Chiểu,3350000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,72,4.5,16,1,2,Đông Bắc,5.5,,,,
Đường Thân Công Tài, Phường Hòa An, Quận Cẩm Lệ,4000000000,Cần bán,"Phòng trọ, nhà trọ",,Sổ hồng/ Sổ đỏ,120,5,24,1,4,Đông Nam,5.5,,,,
Đường Lê Văn Thịnh, Phường Hòa Minh, Quận Liên Chiểu,3550000000,Cần bán,Nhà trong hẻm,,Sổ hồng/ Sổ đỏ,75,5,15,1,2,Đông Nam,5.5,,,,
Đường Trần Đình Tri, Phường Hòa Minh, Quận Liên Chiểu,4750000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,95,4.5,21,,,Tây Bắc,105,,,,
Đường Hòa Nam 5, Phường Hòa An, Quận Cẩm Lệ,4700000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,96,5,19,3,3,Tây Bắc,7.5,,,,
Đường Nguyễn Thị Cận, Phường Hòa Minh, Quận Liên Chiểu,2700000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,102,5,20,,,Tây Nam,7.5,,,,
Đường An Hải 4, Phường An Hải Bắc, Quận Sơn Trà,5900000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,75,5,15,3,4,Đông Nam,5.5,,,,
Đường Phan Phú Tiên, Phường Thanh Khê Tây, Quận Thanh Khê,3550000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,66,5,13.2,2,3,Tây Nam,5.5,,,,
Đường Võ Duy Dương, Phường Hòa Hiệp Nam, Quận Liên Chiểu,3000000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,125,5,25,,,Đông Bắc,7.5,,,,
Đường Hoà Minh 11, Phường Hòa Minh, Quận Liên Chiểu,3250000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,74,5.5,14,,,Tây Nam,5.5,,,,
Đường Hòa Minh 8, Phường Hòa Minh, Quận Liên Chiểu,3800000000,Cần bán,Nhà trong hẻm,,Sổ hồng/ Sổ đỏ,81,4.5,18.1,1,2,Tây Nam,5.5,,,,
Đường Lê Thiệt, Phường Hòa Minh, Quận Liên Chiểu,3150000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,72,4.5,16,,,Tây Nam,5.5,,,,
Đường Kinh Dương Vương, Phường Hòa Minh, Quận Liên Chiểu,15500000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,185,9.2,21,,,Bắc,15,,,,
Đường Phùng Chí Kiên, Phường Hòa Minh, Quận Liên Chiểu,3550000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,75,5,15,,,Tây,5.5,,,,
Đường Tôn Đức Thắng, Phường Hòa An, Quận Cẩm Lệ,2600000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,108,5,21,,,Bắc,2.5,,,,
Đường Phước Tường 1, Phường Hòa Phát, Quận Cẩm Lệ,3750000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,94,5.5,17.1,2,3,Đông,5.5,,,,
Đường Bàu Mạc 6, Phường Hòa Khánh Bắc, Quận Liên Chiểu,4200000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,107,5,21,3,4,Đông Nam,5.5,,,,
Đường Hàm Trung 9, Phường Hòa Hiệp Nam, Quận Liên Chiểu,3150000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,90,4.5,20,1,3,Tây Bắc,5.5,,,,
Đường Bùi Vịnh, Phường Hòa Thọ Đông, Quận Cẩm Lệ,4050000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,99,5,19.8,,,Tây Bắc,7.5,,,,
Đường Đinh Đức Thiện, Phường Hòa Minh, Quận Liên Chiểu,3800000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,90,5,20,,,Tây Nam,7.5,,,,
Đường Thanh Nghị, Phường Hòa Minh, Quận Liên Chiểu,6500000000,Cần bán,"Phòng trọ, nhà trọ",,Sổ hồng/ Sổ đỏ,105,5,21,5,12,Đông Bắc,105,,,,
Đường Phùng Chí Kiên, Phường Hòa Minh, Quận Liên Chiểu,4200000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,75,5,15,2,3,Tây Bắc,5.5,,,,
Đường Bùi Vịnh, Phường Hòa Thọ Đông, Quận Cẩm Lệ,3580000000,Cần bán,"Phòng trọ, nhà trọ",,Sổ hồng/ Sổ đỏ,99,5,19.8,1,5,Đông Nam,7.5,,,,
Đường Xuân Thiều 9, Phường Hòa Hiệp Nam, Quận Liên Chiểu,2950000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,72,4,18,1,2,Bắc,5.5,,,,
Đường Bùi Xương Trạch, Phường Hòa Thọ Đông, Quận Cẩm Lệ,4100000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,112,6.2,20,1,3,Tây Nam,7.5,,,,
Đường Lý Văn Phức, Phường Hòa Hải, Quận Ngũ Hành Sơn,3200000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,90,5,18,,,Đông Nam,7.5,,,,
Đường Lê Thiệt, Phường Hòa Minh, Quận Liên Chiểu,3300000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,72,4.5,16,,,Tây Nam,5.5,,,,
Đường Đặng Như Mai, Phường Hòa An, Quận Cẩm Lệ,3100000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,88,6,14.7,1,1,Tây,5.5,,,,
Đường Bùi Công Trừng, Phường Hòa Thọ Tây, Quận Cẩm Lệ,5950000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,100,5,20,3,3,Đông Bắc,7.5,,,,
Đường Phạm Thị Lam Anh, Phường Hòa Khánh Nam, Quận Liên Chiểu,3000000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,128,5.25,25,2,3,Đông Nam,5.5,,,,
Đường Bàu Gia Thượng 2, Phường Hòa Thọ Đông, Quận Cẩm Lệ,3350000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,90,5,18,,,Nam,5.5,,,,
Đường Nguyễn Xuân Hữu, Phường Hòa Thọ Đông, Quận Cẩm Lệ,2850000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,117,5,23.5,,,Đông Nam,5.5,,,,
Đường Nhơn Hòa 16, Phường Hòa An, Quận Cẩm Lệ,2980000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,100,5,20,,,Tây Bắc,5.5,,,,
Đường Lê Thiệt, Phường Hòa Minh, Quận Liên Chiểu,6100000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,144,9,16,,,Tây Nam,5.5,,,,
Đường Ngô Văn Sở, Phường Hòa Khánh Nam, Quận Liên Chiểu,6500000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,124,5,24.8,,,Đông Nam,105,,,,
Đường Gò Nãy 6, Phường Hòa Minh, Quận Liên Chiểu,5300000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,90,5,18,2,3,Đông Nam,7.5,,,,
Đường Mỹ An, Phường Mỹ An, Quận Ngũ Hành Sơn,6600000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,100,5,20,3,7,Nam,7.5,Y,Y,Y,Y
Đường Ngô Quyền, Phường An Hải Bắc, Quận Sơn Trà,9100000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,125,5,25,,,Đông Nam,48,,,,
Đường Trần Văn Dư, Phường Mỹ An, Quận Ngũ Hành Sơn,4500000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,80,4.55,17.7,2,2,Đông Nam,4.5,Y,Y,Y,Y
Đường An Trung 8, Phường An Hải Đông, Quận Sơn Trà,3100000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,52,5,10.5,,,Tây,3.5,Y,Y,Y,Y
Đường Phó Đức Chính, Phường An Hải Bắc, Quận Sơn Trà,9800000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,140,8,17.5,,,Tây,7.5,,,,
Đường Bà Huyện Thanh Quan, Phường Mỹ An, Quận Ngũ Hành Sơn,5100000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,100,5,20,1,2,Đông Bắc,5,Y,Y,Y,Y
Đường Nguyễn Du, Phường Thạch Thang, Quận Hải Châu,2700000000,Cần bán,Nhà trong hẻm,,Sổ hồng/ Sổ đỏ,44,3.5,,2,2,Đông,3,Y,Y,Y,Y
Đường An Trung 8, Phường An Hải Tây, Quận Sơn Trà,3100000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,53,5,10.5,1,1,Tây,3.7,Y,Y,Y,Y
Đường Tôn Thất Thiệp, Phường Mỹ An, Quận Ngũ Hành Sơn,3900000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,60,4,15,1,1,Tây,3.7,Y,Y,Y,Y
Đường Lê Quang Đạo, Phường Mỹ An, Quận Ngũ Hành Sơn,25000000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,165,9,18.3,,,,7.5,,,,
Đường Lê Văn Hưu, Phường Mỹ An, Quận Ngũ Hành Sơn,10000000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,105,5,21,,,Bắc,10,,,,
Đường An Dương Vương, Phường Mỹ An, Quận Ngũ Hành Sơn,13500000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,107,7.2,16,1,1,Tây Nam,30,Y,Y,Y,Y
Đường Tôn Thất Thiệp, Phường Mỹ An, Quận Ngũ Hành Sơn,3950000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,60,4,15,1,2,Tây,3.7,Y,Y,Y,Y
Đường Nguyễn Sơn, Phường Hòa Cường Nam, Quận Hải Châu,6700000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,100,5,20,1,1,Bắc,7.5,Y,Y,Y,Y
Đường Lê Độ, Phường Chính Gián, Quận Thanh Khê,2550000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,69,3.4,20,1,1,Nam,3,Y,Y,Y,Y
Đường Lý Thái Tổ, Phường Chính Gián, Quận Thanh Khê,2820000000,Cần bán,Nhà trong hẻm,,Sổ hồng/ Sổ đỏ,43,4.3,10,1,2,Đông,3,Y,Y,Y,Y
Đường Mỹ An 17, Phường Mỹ An, Quận Ngũ Hành Sơn,6600000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,100,5,20,3,8,Nam,7.5,Y,Y,Y,Y
Đường Thái Thị Bôi, Phường Chính Gián, Quận Thanh Khê,2850000000,Cần bán,Nhà trong hẻm,,Sổ hồng/ Sổ đỏ,50,4.1,12,2,2,Nam,4,Y,Y,Y,Y
Đường Hoàng Minh Thảo, Phường Hòa Khánh Nam, Quận Liên Chiểu,4850000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,125,5,25,2,2,Đông Bắc,105,,,,
Đường Tô Ngọc Vân, Phường Vĩnh Trung, Quận Thanh Khê,5000000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,53,4.95,10.5,3,3,Tây Nam,4,Y,Y,Y,Y
Đường Khuê Mỹ Đông, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,5800000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,85,5,17,2,3,Nam,5.5,Y,Y,Y,Y
Đường Lê Hữu Trác, Phường An Hải Đông, Quận Sơn Trà,4700000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,92,4,,1,1,Đông Bắc,5,Y,Y,Y,Y
Đường Đỗ Bá, Phường Mỹ An, Quận Ngũ Hành Sơn,6300000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,137,5.7,24,2,7,Đông Nam,4.5,Y,Y,Y,Y
Đường Ngô Trí Hòa, Phường Nại Hiên Đông, Quận Sơn Trà,3650000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,72,4,18,2,2,Bắc,5.5,Y,Y,Y,Y
Đường Mỹ An, Phường Mỹ An, Quận Ngũ Hành Sơn,6600000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,100,5,20,3,7,Nam,7.5,Y,Y,Y,Y
Đường Mỹ Đa Tây 10, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,3550000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,85,5,17,,,Đông Bắc,5.5,,,,
Đường Nguyễn Văn Thoại, Phường Mỹ An, Quận Ngũ Hành Sơn,4690000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,115,5,23,1,2,Tây Nam,3,Y,Y,Y,Y
