Route,Ward,District,Price,Type Of New,Type Of Estate,Owned,Legal,Square,Width,Length,Floors,Bedrooms,Direction,Road,DinningRoom,Kitchen,Terrace,Garage
Đường Trần Cao Vân, Phường Thanh Khê Đông, Quận Thanh Khê,8900000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,132,4,30,2,3,Đông Nam,10,,,,
Đường Ông Ích Khiêm, Phường Thanh Bình, Quận Hải Châu,8500000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,42,4,12,4,3,Tây,10,,,,
Đường Hà Thị Thân, Phường An Hải Tây, Quận Sơn Trà,11000000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,152,7.3,21,,,Nam,7.5,,,,
Đường Diệp Minh Châu, Phường Hòa Xuân, Quận Cẩm Lệ,3650000000,Cần bán,"Đất thổ cư, đất ở",,Giấy tờ hợp lệ,100,5,20,,,Tây Nam,7.5,,,,
Đường Phạm Xuân Ẩn, Phường Hòa Xuân, Quận Cẩm Lệ,3750000000,Cần bán,"Đất nền, liền kề, đất dự án",,Sổ hồng/ Sổ đỏ,100,5,20,,,Tây Nam,7.5,,,,
Đường Đỗ Quang, Phường Vĩnh Trung, Quận Thanh Khê,5400000000,Cần bán,Nhà trong hẻm,,Sổ hồng/ Sổ đỏ,165,11,15,2,3,,2.5,Y,Y,Y,Y
Đường Phạm Xuân Ẩn, Phường Hòa Xuân, Quận Cẩm Lệ,3750000000,Cần bán,"Đất nền, liền kề, đất dự án",,Sổ hồng/ Sổ đỏ,100,5,20,,,Tây Nam,7.5,,,,
Đường Phạm Hùng, Phường Hòa Xuân, Quận Cẩm Lệ,6400000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,108,5,21,1,3,Tây,15,,,,Y
Đường Huỳnh Tịnh Của, Xã Hòa Phước, Huyện Hòa Vang,2870000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,117,5,23.5,1,3,Tây,5.5,Y,Y,Y,Y
Đường Hồ Tùng Mậu, Phường Hòa Minh, Quận Liên Chiểu,5300000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,81,4.5,18,,,Tây Bắc,10,,,,Y
Đường Xuân Thiều 17, Phường Hòa Hiệp Nam, Quận Liên Chiểu,3150000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,75,6,12.5,,,Tây Bắc,3.7,,,,Y
68 Đường Song Hào, Phường Hòa Hải, Quận Ngũ Hành Sơn,31000000000,Cần bán,"Biệt thự, nhà liền kề",,Sổ hồng/ Sổ đỏ,300,15,20,35,5,Tây,33,Y,Y,Y,Y
Đường Trần Thánh Tông, Phường Nại Hiên Đông, Quận Sơn Trà,10000000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,167,8.5,20,,,,33,,,,
Đường Tôn Quang Phiệt, Phường Nại Hiên Đông, Quận Sơn Trà,5500000000,Cần bán,"Đất thổ cư, đất ở",,,90,4.5,20,,,,7.5,,,,
Đường Vũ Đình Liên, Phường Hòa Xuân, Quận Cẩm Lệ,5100000000,Cần bán,Nhà mặt tiền,,,100,5,20,2,3,Tây Bắc,7.5,,,,
Đường Phan Thao, Phường Hòa Xuân, Quận Cẩm Lệ,4400000000,Cần bán,"Đất thổ cư, đất ở",,,100,5,20,,,Bắc,10,,,,
Đường Mỹ Đa Đông 11, Phường Mỹ An, Quận Ngũ Hành Sơn,19200000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,240,14.86,16.24,,,Tây Nam,5.5,,,,
